Denumire Operator,Cod Fiscal,Localitate,Nr.Vehicule,Export data,Clase Transportator
LOSITOURS SRL,R1612741,Drobeta Turnu Severin,1,2026.07,Operatori mici
GENERAL TRANS MAN S.R.L.,R13568160,Bucuresti,1,2026.07,Operatori mici
MORIO SRL,R10569853,Moinesti,2,2026.07,Operatori mici
TRANSPORT PRESTARI SERVICII CU UITLAJE TERASIERE MEHEDINTI SA,R9824545,Simian,5,2026.07,Operatori mici
NORD SPEDITION,R26609180,Radauti,5,2026.07,Operatori mici
VIMASI S.R.L.,R16674041,Dragoiesti,10,2026.07,Operatori medii 1
GLOBUS REISEN SRL,R26857259,Gorban,2,2026.07,Operatori mici
NERCOM DINAMIC SRL,R29811744,Cavnic,3,2026.07,Operatori mici
RALUCA SI RARES COMPANY,R51067668,Calinesti,1,2026.07,Operatori mici
VIRGINIA SPEED SRL-D,R33405230,Baia Mare,1,2026.07,Operatori mici
FRIGO EMMA TRANS SRL,R50969360,Iasi,1,2026.07,Operatori mici
ADIDAV CC TRANS SRL,R48533334,Tandarei,1,2026.07,Operatori mici
PERFECT LINE SERBIA SRL,R33406014,Drobeta Turnu Severin,1,2026.07,Operatori mici
"TEATRUL NATIONAL ""VASILE ALECSANDRI"" IASI",R4540445,Iasi,1,2026.07,Operatori mici
LEODOR TRACK CON S.R.L.,R47251823,Iasi,1,2026.07,Operatori mici
ASAP TRANS SRL,R49056985,Iasi,1,2026.07,Operatori mici
LUXURY LOGISTIC TRANS S.R.L.,R46143939,Iasi,1,2026.07,Operatori mici
KRISTEL MANKAR SRL,R43456958,Iasi,1,2026.07,Operatori mici
MCT VIP SRL,R35361466,Iasi,1,2026.07,Operatori mici
TRANSGRUPAJ SRL,R40308680,Iasi,1,2026.07,Operatori mici
DSC TIR TRANS SRL,R39811040,Iasi,1,2026.07,Operatori mici
MINCO IMPEX SRL,R5407588,Albesti Paleologu,1,2026.07,Operatori mici
MANDRU INTERPREST SRL,R31149313,Aricestii Rahtivani,1,2026.07,Operatori mici
ANDAD MAR TAXI SRL -D,R34757234,Aricestii Rahtivani,1,2026.07,Operatori mici
MCV LOGISERV SRL,R38831694,Cerasu,1,2026.07,Operatori mici
DAVID EUROTRANS SRL,R21766842,Ploiesti,1,2026.07,Operatori mici
TRUCK EURO EXPRESS SRL,R34356976,Ploiesti,1,2026.07,Operatori mici
AKO ECO TRANS S.R.L.,R50334244,Ploiesti,1,2026.07,Operatori mici
PRO PAN FOREST SRL,R10825951,Medias,1,2026.07,Operatori mici
MCDKIM SRL,R5056924,Novaci,1,2026.07,Operatori mici
EASTERNTRANS SRL,R16103096,Novaci,1,2026.07,Operatori mici
GO DBF TRANS SRL,R50433663,Fratesti,1,2026.07,Operatori mici
AMRC BUSINESS SOLUTIONS SRL,R33514849,Bragadiru,1,2026.07,Operatori mici
ANCORR LOGISTIC TRANSPORT SRL,R42298493,Magurele,1,2026.07,Operatori mici
IDEAL TRANSPORT  LOGISTIC INTERNATIONAL SRL,R45999136,Otopeni,1,2026.07,Operatori mici
MATI TRANSPORTER SRL,R38378241,Dridu,1,2026.07,Operatori mici
ANS 2014 TRANSPORT SRL,R40430457,Slobozia,1,2026.07,Operatori mici
PEISAGISTICA PREST CONSTRUCT SRL,R44752099,Slobozia,1,2026.07,Operatori mici
BASKO ALLCOM SRL,R30574692,Iasi,1,2026.07,Operatori mici
YST TRUCK,R50619594,Baiculesti,1,2026.07,Operatori mici
ALEX ROAD SPEED,R38222659,Bascov,1,2026.07,Operatori mici
